City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
298,xiuyan,CN,41.02,81,0,4.21,40.2928,123.2744,1680012838
299,hamilton,US,46.81,77,0,9.22,39.1834,-84.5333,1680012838
300,mitsamiouli,KM,82.02,73,100,2.59,-11.3847,43.2844,1680012839
301,kutum,SD,87.19,13,33,8.79,14.2,24.6667,1680012839
302,vinstra,NO,28.4,63,92,5.01,61.5952,9.7523,1680012839
303,khash,IR,57.83,59,100,8.14,28.2211,61.2158,1680012839
304,jumla,NP,45.68,81,99,4.03,29.2747,82.1838,1680012840
305,tecoanapa,MX,78.37,58,1,3.36,16.5167,-98.75,1680012840
306,maniitsoq,GL,16.02,53,0,2.44,65.4167,-52.9,1680012840
307,tual,ID,80.29,84,100,21.65,-5.6667,132.75,1680012840
308,vila franca do campo,PT,63.01,86,98,25.88,37.7167,-25.4333,1680012840
309,aligudarz,IR,52.57,47,86,10.69,33.4006,49.6949,1680012841
310,panama city,PA,83.14,63,7,3.0,8.9936,-79.5197,1680012715
311,hithadhoo,MV,83.32,75,100,6.51,-0.6,73.0833,1680012841
312,sakakah,SA,75.79,16,0,10.02,29.9697,40.2064,1680012841
313,kalangala,UG,72.75,78,100,13.91,-0.3089,32.225,1680012841
314,preston,GB,48.81,90,75,12.66,53.7667,-2.7167,1680012842
315,namatanai,PG,78.82,83,86,4.99,-3.6667,152.4333,1680012842
316,kalawit,PH,79.65,81,100,6.31,8.0667,122.5167,1680012842
317,fatsa,TR,51.6,96,100,1.41,41.0278,37.5014,1680012842
318,shihezi,CN,53.28,48,13,6.4,44.3,86.0333,1680012844
319,manta,EC,82.18,78,0,2.3,-0.95,-80.7333,1680012549
320,phan thiet,VN,78.75,85,77,13.87,10.9333,108.1,1680012663
321,mathathane,BW,78.46,41,33,11.68,-22.2687,28.7495,1680012845
322,port-gentil,GA,82.36,83,40,6.91,-0.7193,8.7815,1680012845
323,college,US,26.92,80,75,9.22,64.8569,-147.8028,1680012845
324,ankara,TR,45.52,87,75,5.75,39.9199,32.8543,1680012620
325,chernyshevskiy,RU,7.05,93,100,11.72,63.0128,112.4714,1680012614
326,mantua,IT,62.35,27,12,4.0,45.1667,10.7833,1680012846
327,pitimbu,BR,88.39,64,10,9.75,-7.4706,-34.8086,1680012847
328,liverpool,GB,50.52,88,75,12.66,53.4106,-2.9779,1680012847
329,taltal,CL,70.84,71,2,5.46,-25.4,-70.4833,1680012847
330,sola,VU,82.22,74,100,7.94,-13.8833,167.55,1680012848
331,yining,CN,54.93,87,100,0.74,29.0361,114.5636,1680012849
332,makakilo city,US,70.45,87,0,4.61,21.3469,-158.0858,1680012849
333,santa lucia,ES,70.77,57,0,25.32,27.9117,-15.5407,1680012849
334,matagami,CA,14.38,79,94,2.8,49.7502,-77.6328,1680012849
335,natchez,US,62.26,77,100,9.22,31.5604,-91.4032,1680012850
336,hovd,MN,39.67,29,20,1.83,48.0056,91.6419,1680012850
337,merritt,CA,22.32,94,100,1.99,50.1123,-120.7942,1680012850
338,kismayo,SO,84.07,65,8,14.47,-0.3582,42.5454,1680012850
339,yinchuan,CN,57.69,10,0,7.4,38.4681,106.2731,1680012851
340,uirauna,BR,82.65,65,39,4.9,-6.5183,-38.4122,1680012645
341,xichang,CN,51.03,85,86,4.74,27.8964,102.2634,1680012852
342,talnakh,RU,-11.79,99,95,5.55,69.4865,88.3972,1680012852
343,kisangani,CD,86.49,49,84,4.34,0.5167,25.2,1680012852
344,jacareacanga,BR,84.87,64,100,1.63,-6.2222,-57.7528,1680012852
345,kensington,AU,68.76,89,100,1.99,-33.9167,151.2167,1680012853
346,beira,MZ,77.36,69,85,13.47,-19.8436,34.8389,1680012853
347,yermakovskoye,RU,36.79,91,100,1.43,53.2831,92.4003,1680012854
348,puerto escondido,MX,77.83,65,0,9.22,15.85,-97.0667,1680012854
349,kerouane,GN,93.22,32,100,2.73,9.2667,-9.0167,1680012854
350,north myrtle beach,US,71.13,70,0,9.22,33.816,-78.68,1680012854
351,kirakira,SB,79.56,85,100,3.22,-10.4544,161.9205,1680012855
352,mananara,MG,81.63,78,75,5.86,-16.1667,49.7667,1680012855
353,mehamn,NO,30.15,69,40,9.22,71.0357,27.8492,1680012855
354,avera,US,64.45,74,91,4.85,33.194,-82.5271,1680012856
355,peniche,PT,81.09,40,100,5.73,39.3558,-9.3811,1680012587
356,leshukonskoye,RU,24.33,89,11,2.93,64.8989,45.7622,1680012856
357,roma,US,39.09,91,75,3.44,43.2128,-75.4557,1680012836
358,los llanos de aridane,ES,74.95,31,0,10.36,28.6585,-17.9182,1680012857
359,tateyama,JP,53.65,78,29,12.97,34.9833,139.8667,1680012858
360,sioux lookout,CA,8.67,88,93,2.95,50.1001,-91.917,1680012858
361,havoysund,NO,32.23,90,100,8.93,70.9963,24.6622,1680012858
362,makubetsu,JP,37.47,86,1,12.37,45.3714,141.8211,1680012859
363,marabba,SD,97.45,8,96,12.84,12.35,32.1833,1680012859
364,eydhafushi,MV,82.65,74,24,9.33,5.1033,73.0708,1680012859
365,barkot,IN,57.83,67,83,0.83,30.8167,78.2,1680012859
